sigma_a,sigma_b,r,c0_a
0.1,0.1,0.128182592143466,1
0.2,0.1,0.155679869525072,1.14716727354171
0.3,0.1,0.170879998995301,1.22103377713027
0.4,0.1,0.180645076816091,1.26569585266824
0.5,0.1,0.187479054008952,1.2956704317414
0.6,0.1,0.192540085514958,1.31719719722708
0.7,0.1,0.19644328072394,1.33341315479339
0.8,0.1,0.199547211731492,1.34607084414438
0.9,0.1,0.202075616668466,1.3562271418424
1,0.1,0.204175551339688,1.36455764076743
1.1,0.1,0.205947750773271,1.37151451865274
1.2,0.1,0.207463584265605,1.37741190927545
1.3,0.1,0.208775053842284,1.38247488081072
1.4,0.1,0.209920959730367,1.38686893064123
1.5,0.1,0.210930847180913,1.39071848162462
1.6,0.1,0.211827614078314,1.39411888814834
1.7,0.1,0.212629288880266,1.3971444485328
1.8,0.1,0.21335025115855,1.39985393788652
1.9,0.1,0.214002120848588,1.40229444096478
2,0.1,0.214594386271412,1.40450413181781
0.1,0.2,0.155679868711271,0.852832724439832
0.2,0.2,0.20915616315476,1.00000000000004
0.3,0.2,0.243823935578148,1.08559075884241
0.4,0.2,0.268404993675942,1.14188920213492
0.5,0.2,0.286812029809397,1.18177578223177
0.6,0.2,0.30113301053089,1.21151326577824
0.7,0.2,0.312600058454735,1.23453224887769
0.8,0.2,0.321991818693369,1.25287343817411
0.9,0.2,0.329826031034657,1.26782759107411
1,0.2,0.336460923290712,1.28025112584235
1.1,0.2,0.342152472097169,1.29073458880575
1.2,0.2,0.34708855056923,1.2996983321699
1.3,0.2,0.351410206971778,1.30744965279402
1.4,0.2,0.3552254165803,1.31421836802846
1.5,0.2,0.358618247694585,1.3201797603008
1.6,0.2,0.361655135429816,1.3254698286088
1.7,0.2,0.364389276737116,1.33019569595656
1.8,0.2,0.366863772351563,1.33444288260076
1.9,0.2,0.369113913487604,1.33828047975214
2,0.2,0.371168874311104,1.34176491078228
0.1,0.3,0.170879998898737,0.778966222734204
0.2,0.3,0.243823935579498,0.914409241162795
0.3,0.3,0.295941487731219,1.00000000000094
0.4,0.3,0.335465385204608,1.05940413064543
0.5,0.3,0.366556437030053,1.10308230942159
0.6,0.3,0.391666716010362,1.13652800961606
0.7,0.3,0.412366531124806,1.16293533588815
0.8,0.3,0.429717120674302,1.18429543272041
0.9,0.3,0.444464184170325,1.20191553165323
1,0.3,0.457147823232563,1.21668940607097
1.1,0.3,0.468169010441243,1.22924859474844
1.2,0.3,0.477831669730754,1.24005175893643
1.3,0.3,0.486370307813492,1.2494398521561
1.4,0.3,0.493968705604274,1.25767146097746
1.5,0.3,0.500772881972436,1.26494616136355
1.6,0.3,0.506900281452411,1.27142037445429
1.7,0.3,0.512446407626696,1.277218380996
1.8,0.3,0.517489699767094,1.28244014287041
1.9,0.3,0.522095163485642,1.28716694649958
2,0.3,0.526317117519671,1.29146555320507
0.1,0.4,0.180645075993548,0.734304146537439
0.2,0.4,0.268404993539644,0.85811079774039
0.3,0.4,0.335465385215501,0.940595869396344
0.4,0.4,0.388955695546531,1.00000000001183
0.5,0.4,0.43272316097169,1.04487962265032
0.6,0.4,0.469193675970544,1.07995315335757
0.7,0.4,0.500023874935143,1.10808004061937
0.8,0.4,0.526399966230824,1.13110634155894
0.9,0.4,0.549198724119623,1.15028026409097
1,0.4,0.569083564155528,1.1664766016809
1.1,0.4,0.58656586911207,1.18032647248333
1.2,0.4,0.602045977265353,1.1922963198994
1.3,0.4,0.615841506509815,1.20273803883869
1.4,0.4,0.628207432328613,1.21192187255558
1.5,0.4,0.639350614730924,1.22005862300443
1.6,0.4,0.649440490718649,1.22731501479276
1.7,0.4,0.658617064666289,1.23382455346573
1.8,0.4,0.666996942573353,1.23969533651352
